1022 3
245 105 145
224 255 255
255 92 205
200 173 127
249 132 239
250 250 210
211 211 211
204 153 204
144 238 144
255 179 222
211 155 203
173 223 173
230 168 215
177 156 217
255 182 193
255 160 122
255 153 153
32 178 170
135 206 250
119 136 153
176 196 222
179 139 109
255 255 224
200 162 200
50 205 50
157 194 9
25 89 5
250 240 230
108 160 220
103 76 71
184 109 41
108 46 31
152 116 86
255 228 205
230 32 32
24 69 59
202 31 123
208 65 126
255 0 144
204 51 139
159 69 118
170 240 209
248 244 255
192 64 0
96 80 220
11 218 81
151 154 170
255 130 67
116 195 101
136 0 133
128 0 0
176 48 96
224 176 255
145 95 109
239 152 170
76 145 65
115 194 251
229 183 59
102 221 170
0 0 205
226 6 44
175 64 53
243 229 171
3 80 150
28 53 45
221 160 221
186 85 211
0 103 165
147 112 219
187 51 133
170 64 105
60 179 113
128 218 235
123 104 238
201 220 135
0 250 154
72 209 204
217 96 59
199 21 133
248 184 120
253 188 180
10 126 140
156 124 56
228 0 124
25 25 112
0 73 83
255 196 12
227 249 136
62 180 137
245 255 250
152 255 152
255 228 225
115 169 194
174 12 0
138 154 91
48 186 143
153 122 141
48 96 48
197 75 140
255 219 88
49 120 115
246 173 198
42 128 0
250 218 94
255 222 173
0 0 128
255 163 67
254 65 100
57 255 20
33 79 198
215 131 127
164 221 237
5 144 51
233 255 219
0 119 190
204 119 34
67 48 46
207 181 59
253 245 230
121 104 120
103 49 71
134 126 54
192 128 129
107 142 35
60 52 31
154 185 115
53 56 57
183 132 167
255 127 0
255 117 56
255 88 0
251 153 2
255 165 0
255 69 0
255 159 0
218 112 214
242 189 205
251 79 20
65 74 76
255 110 74
0 33 71
0 102 0
39 59 226
104 40 96
175 238 238
152 118 84
155 196 226
221 173 175
171 205 239
135 211 248
230 190 138
238 232 170
152 251 152
220 208 255
249 132 229
255 153 204
250 218 221
219 112 147
150 222 209
201 192 187
236 235 189
188 152 126
204 153 255
120 24 74
0 155 125
255 239 213
230 62 98
174 198 207
131 105 83
207 207 196
119 221 119
244 154 194
255 179 71
222 165 164
179 158 181
255 105 97
203 153 201
253 253 150
128 0 128
255 229 180
255 204 153
250 223 173
255 218 185
209 226 49
234 224 200
136 216 192
183 104 162
230 226 0
28 57 187
0 166 147
50 18 122
217 144 88
247 127 190
112 28 28
204 51 51
254 40 162
236 88 0
205 133 63
223 0 255
0 15 137
18 53 36
69 177 232
195 11 78
253 221 230
1 121 111
255 192 203
215 72 148
255 221 244
216 178 209
231 172 207
152 0 54
247 143 167
147 197 114
229 228 226
142 69 133
190 79 98
255 90 54
176 224 230
245 128 37
0 49 83
204 136 153
114 47 55
100 65 23
59 51 28
255 117 24
159 0 197
160 32 240
105 53 156
150 120 182
78 81 128
254 78 218
80 64 77
154 78 174
81 72 79
67 107 149
232 204 215
142 58 89
255 53 94
251 171 96
227 11 93
226 80 152
130 102 68
255 51 204
227 37 107
141 78 133
102 51 153
255 0 0
238 32 77
242 0 60
196 2 51
237 28 36
254 39 18
255 83 73
228 0 120
134 1 17
164 90 82
82 45 128
0 35 135
119 118 150
0 64 64
241 167 254
8 146 208
167 107 207
182 102 210
68 76 56
0 204 204
138 127 128
131 137 150
249 66 158
103 72 70
183 110 121
255 102 204
194 30 86
144 93 93
171 78 82
101 0 11
212 0 0
188 143 143
0 56 168
0 35 102
65 105 225
202 44 146
120 81 169
206 70 118
209 0 86
224 17 95
155 17 30
255 0 40
187 101 40
225 142 150
168 28 7
128 70 27
103 146 103
50 23 77
183 65 14
218 44 67
139 69 19
255 120 0
255 103 0
238 210 2
244 196 48
188 184 138
250 128 114
255 145 164
236 213 64
244 164 96
146 0 10
80 125 42
15 82 186
203 161 53
253 14 53
255 36 0
255 216 0
118 255 122
0 105 148
46 139 87
50 20 20
255 245 238
255 186 0
112 66 20
138 121 93
119 139 165
255 207 241
0 158 96
143 212 0
217 134 149
252 15 192
255 111 255
192 192 192
172 172 172
93 137 186
196 174 173
191 193 194
203 65 11
0 116 116
135 206 235
207 113 175
106 90 205
112 128 144
200 65 134
115 130 118
16 12 8
147 61 65
255 250 250
206 200 239
137 56 67
117 117 117
29 41 81
128 117 50
0 112 184
209 0 71
229 26 76
152 152 152
0 145 80
232 97 0
247 191 190
230 0 38
76 40 130
0 127 92
158 19 22
139 95 77
15 192 252
167 252 0
35 41 122
0 123 184
70 130 180
204 51 204
79 102 106
228 217 111
252 90 141
255 204 51
227 171 87
253 94 83
207 107 169
210 180 140
249 77 0
242 133 0
255 204 0
139 133 137
208 240 192
0 128 128
54 117 136
153 230 179
0 130 127
207 52 118
205 87 0
226 114 91
216 191 216
252 137 172
10 186 181
224 141 60
219 215 210
238 230 0
255 99 71
116 108 192
255 200 124
0 117 94
0 115 207
65 125 193
255 135 141
222 170 136
181 114 129
64 224 208
0 255 239
160 214 180
124 72 72
192 153 153
138 73 107
0 51 170
217 0 76
83 104 149
255 179 0
60 208 112
123 17 19
0 79 152
136 120 195
252 108 133
18 10 143
65 102 245
99 81 71
255 221 202
91 146 229
183 135 39
247 127 0
174 32 41
225 173 33
211 0 63
243 143 169
197 179 88
200 8 21
67 179 174
217 56 30
116 187 251
102 102 255
100 233 134
255 176 119
255 223 191
255 255 191
127 0 255
134 1 175
50 74 178
247 83 148
0 150 152
124 158 217
204 153 0
146 39 36
159 29 53
218 29 129
0 170 238
204 0 51
255 153 0
166 214 8
0 204 51
184 12 227
255 95 0
255 160 0
204 0 255
255 0 108
247 13 26
223 97 36
0 204 255
240 116 39
255 160 137
229 96 36
159 0 255
255 227 2
0 66 66
164 244 249
100 84 82
245 222 179
255 255 255
245 245 245
162 173 208
212 112 162
255 67 164
253 88 0
167 85 2
201 160 220
115 134 120
15 77 146
28 40 65
255 255 0
252 232 131
239 204 0
254 223 0
254 254 51
154 205 50
255 174 66
255 240 0
0 20 168
44 22 8
57 167 142
